raceth,age_group_5yr,sex,statefip,n,weighted
Black Non-Hispanic,25-29,NA,41,210,30469
Black Non-Hispanic,25-29,NA,42,1826,402289
Black Non-Hispanic,25-29,NA,44,111,20293
Black Non-Hispanic,25-29,NA,45,2075,331554
Black Non-Hispanic,25-29,NA,46,35,7924
Black Non-Hispanic,25-29,NA,47,1839,326043
Black Non-Hispanic,25-29,NA,48,6123,1117200
Black Non-Hispanic,25-29,NA,49,100,14214
Black Non-Hispanic,25-29,NA,50,19,2031
Black Non-Hispanic,25-29,NA,51,2730,414921
Black Non-Hispanic,25-29,NA,53,607,98962
Black Non-Hispanic,25-29,NA,54,136,13823
Black Non-Hispanic,25-29,NA,55,648,116208
Black Non-Hispanic,25-29,NA,56,15,2136
Black Non-Hispanic,30-34,NA,1,2266,372843
Black Non-Hispanic,30-34,NA,2,42,8537
Black Non-Hispanic,30-34,NA,4,819,116654
Black Non-Hispanic,30-34,NA,5,799,121693
Black Non-Hispanic,30-34,NA,6,4925,708693
Black Non-Hispanic,30-34,NA,8,571,82884
Black Non-Hispanic,30-34,NA,9,747,118743
Black Non-Hispanic,30-34,NA,10,347,61894
Black Non-Hispanic,30-34,NA,11,574,99776
Black Non-Hispanic,30-34,NA,12,6346,1039125
Black Non-Hispanic,30-34,NA,13,6117,1039985
Black Non-Hispanic,30-34,NA,15,81,10114
Black Non-Hispanic,30-34,NA,16,50,6285
Black Non-Hispanic,30-34,NA,17,2712,499916
Black Non-Hispanic,30-34,NA,18,1059,195367
Black Non-Hispanic,30-34,NA,19,204,39394
Black Non-Hispanic,30-34,NA,20,262,45665
Black Non-Hispanic,30-34,NA,21,650,101381
Black Non-Hispanic,30-34,NA,22,2434,402411
Black Non-Hispanic,30-34,NA,23,43,7459
Black Non-Hispanic,30-34,NA,24,3323,535092
Black Non-Hispanic,30-34,NA,25,1145,169102
Black Non-Hispanic,30-34,NA,26,1999,426883
Black Non-Hispanic,30-34,NA,27,508,136544
Black Non-Hispanic,30-34,NA,28,1906,271094
Black Non-Hispanic,30-34,NA,29,1089,203683
Black Non-Hispanic,30-34,NA,30,19,3159
Black Non-Hispanic,30-34,NA,31,136,24897
Black Non-Hispanic,30-34,NA,32,581,104911
Black Non-Hispanic,30-34,NA,33,56,9889
Black Non-Hispanic,30-34,NA,34,2136,354723
Black Non-Hispanic,30-34,NA,35,84,12093
Black Non-Hispanic,30-34,NA,36,5510,871318
Black Non-Hispanic,30-34,NA,37,4018,631303
Black Non-Hispanic,30-34,NA,38,20,8024
Black Non-Hispanic,30-34,NA,39,2433,442021
Black Non-Hispanic,30-34,NA,40,538,85053
Black Non-Hispanic,30-34,NA,41,257,33694
Black Non-Hispanic,30-34,NA,42,2046,434335
Black Non-Hispanic,30-34,NA,44,125,20689
Black Non-Hispanic,30-34,NA,45,2370,366563
Black Non-Hispanic,30-34,NA,46,19,3446
Black Non-Hispanic,30-34,NA,47,2071,339171
Black Non-Hispanic,30-34,NA,48,6572,1194192
Black Non-Hispanic,30-34,NA,49,107,13774
Black Non-Hispanic,30-34,NA,50,18,1955
Black Non-Hispanic,30-34,NA,51,3143,470700
Black Non-Hispanic,30-34,NA,53,725,110244
Black Non-Hispanic,30-34,NA,54,182,18098
Black Non-Hispanic,30-34,NA,55,680,112282
Black Non-Hispanic,30-34,NA,56,15,1242
Black Non-Hispanic,35-39,NA,1,2272,341426
Black Non-Hispanic,35-39,NA,2,41,9312
Black Non-Hispanic,35-39,NA,4,760,105372
Black Non-Hispanic,35-39,NA,5,813,117681
Black Non-Hispanic,35-39,NA,6,4536,599181
Black Non-Hispanic,35-39,NA,8,464,72512
Black Non-Hispanic,35-39,NA,9,723,101090
Black Non-Hispanic,35-39,NA,10,325,57979
Black Non-Hispanic,35-39,NA,11,517,80205
Black Non-Hispanic,35-39,NA,12,5929,912626
Black Non-Hispanic,35-39,NA,13,5883,923586
Black Non-Hispanic,35-39,NA,15,58,7561
Black Non-Hispanic,35-39,NA,16,25,3520
Black Non-Hispanic,35-39,NA,17,2630,441947
Black Non-Hispanic,35-39,NA,18,1017,182400
Black Non-Hispanic,35-39,NA,19,207,39155
Black Non-Hispanic,35-39,NA,20,281,45598
Black Non-Hispanic,35-39,NA,21,613,92144
Black Non-Hispanic,35-39,NA,22,2581,391769
Black Non-Hispanic,35-39,NA,23,66,11332
Black Non-Hispanic,35-39,NA,24,3413,502110
Black Non-Hispanic,35-39,NA,25,1022,141982
Black Non-Hispanic,35-39,NA,26,1586,303149
Black Non-Hispanic,35-39,NA,27,517,126972
Black Non-Hispanic,35-39,NA,28,1966,271437
Black Non-Hispanic,35-39,NA,29,1062,180737
Black Non-Hispanic,35-39,NA,30,12,1029
Black Non-Hispanic,35-39,NA,31,116,23618
Black Non-Hispanic,35-39,NA,32,597,94722
Black Non-Hispanic,35-39,NA,33,43,6496
Black Non-Hispanic,35-39,NA,34,2051,317380
Black Non-Hispanic,35-39,NA,35,87,11551
Black Non-Hispanic,35-39,NA,36,5253,725669
Black Non-Hispanic,35-39,NA,37,3955,577653
Black Non-Hispanic,35-39,NA,38,40,11363
Black Non-Hispanic,35-39,NA,39,2200,361352
Black Non-Hispanic,35-39,NA,40,479,70099
Black Non-Hispanic,35-39,NA,41,196,25487
Black Non-Hispanic,35-39,NA,42,1928,381426
Black Non-Hispanic,35-39,NA,44,112,19825
Black Non-Hispanic,35-39,NA,45,2346,345009
Black Non-Hispanic,35-39,NA,46,29,8952
Black Non-Hispanic,35-39,NA,47,1924,298482
Black Non-Hispanic,35-39,NA,48,6653,1093318
Black Non-Hispanic,35-39,NA,49,58,11205
Black Non-Hispanic,35-39,NA,50,15,2855
Black Non-Hispanic,35-39,NA,51,2969,445639
Black Non-Hispanic,35-39,NA,53,725,107435
Black Non-Hispanic,35-39,NA,54,139,17841
Black Non-Hispanic,35-39,NA,55,536,99564
Black Non-Hispanic,35-39,NA,56,12,1582
Black Non-Hispanic,40-44,NA,1,2451,351690
Black Non-Hispanic,40-44,NA,2,40,7505
Black Non-Hispanic,40-44,NA,4,676,87726
Black Non-Hispanic,40-44,NA,5,846,118725
Black Non-Hispanic,40-44,NA,6,4170,564277
Black Non-Hispanic,40-44,NA,8,446,70671
Black Non-Hispanic,40-44,NA,9,753,111750
Black Non-Hispanic,40-44,NA,10,345,62025
Black Non-Hispanic,40-44,NA,11,492,71533
Black Non-Hispanic,40-44,NA,12,5982,906783
Black Non-Hispanic,40-44,NA,13,6050,955807
Black Non-Hispanic,40-44,NA,15,45,8512
Black Non-Hispanic,40-44,NA,16,27,4027
Black Non-Hispanic,40-44,NA,17,2703,437980
Black Non-Hispanic,40-44,NA,18,953,159677
Black Non-Hispanic,40-44,NA,19,196,36741
Black Non-Hispanic,40-44,NA,20,263,45728
Black Non-Hispanic,40-44,NA,21,598,85985
Black Non-Hispanic,40-44,NA,22,2477,381389
Black Non-Hispanic,40-44,NA,23,44,8153
Black Non-Hispanic,40-44,NA,24,3518,511722
Black Non-Hispanic,40-44,NA,25,1053,144599
Black Non-Hispanic,40-44,NA,26,1752,330181
Black Non-Hispanic,40-44,NA,27,437,123887
Black Non-Hispanic,40-44,NA,28,2209,312197
Black Non-Hispanic,40-44,NA,29,1034,166534
Black Non-Hispanic,40-44,NA,30,9,892
Black Non-Hispanic,40-44,NA,31,131,24134
Black Non-Hispanic,40-44,NA,32,556,83724
Black Non-Hispanic,40-44,NA,33,41,7281
Black Non-Hispanic,40-44,NA,34,2152,330514
Black Non-Hispanic,40-44,NA,35,79,10093
Black Non-Hispanic,40-44,NA,36,5063,716898
Black Non-Hispanic,40-44,NA,37,4016,571975
Black Non-Hispanic,40-44,NA,38,34,9873
Black Non-Hispanic,40-44,NA,39,2207,368478
Black Non-Hispanic,40-44,NA,40,536,81730
Black Non-Hispanic,40-44,NA,41,172,23695
Black Non-Hispanic,40-44,NA,42,1651,339931
Black Non-Hispanic,40-44,NA,44,125,20742
Black Non-Hispanic,40-44,NA,45,2469,349870
Black Non-Hispanic,40-44,NA,46,31,6683
Black Non-Hispanic,40-44,NA,47,1832,291136
Black Non-Hispanic,40-44,NA,48,6840,1078087
Black Non-Hispanic,40-44,NA,49,59,7891
Black Non-Hispanic,40-44,NA,50,13,1883
Black Non-Hispanic,40-44,NA,51,3171,450519
Black Non-Hispanic,40-44,NA,53,684,99706
Black Non-Hispanic,40-44,NA,54,151,17845
Black Non-Hispanic,40-44,NA,55,489,92352
Black Non-Hispanic,40-44,NA,56,7,639
Black Non-Hispanic,45-49,NA,1,2517,319497
Black Non-Hispanic,45-49,NA,2,24,4219
Black Non-Hispanic,45-49,NA,4,660,86225
Black Non-Hispanic,45-49,NA,5,892,106701
Black Non-Hispanic,45-49,NA,6,3834,494684
Black Non-Hispanic,45-49,NA,8,407,51660
Black Non-Hispanic,45-49,NA,9,638,93373
Black Non-Hispanic,45-49,NA,10,344,50086
Black Non-Hispanic,45-49,NA,11,426,60708
Black Non-Hispanic,45-49,NA,12,5713,805228
Black Non-Hispanic,45-49,NA,13,6079,864171
Black Non-Hispanic,45-49,NA,15,53,5773
Black Non-Hispanic,45-49,NA,16,17,1798
Black Non-Hispanic,45-49,NA,17,2533,385764
Black Non-Hispanic,45-49,NA,18,1018,146444
Black Non-Hispanic,45-49,NA,19,137,29232
Black Non-Hispanic,45-49,NA,20,202,35687
Black Non-Hispanic,45-49,NA,21,575,74650
Black Non-Hispanic,45-49,NA,22,2296,314336
Black Non-Hispanic,45-49,NA,23,40,4814
Black Non-Hispanic,45-49,NA,24,3328,452008
Black Non-Hispanic,45-49,NA,25,996,124981
Black Non-Hispanic,45-49,NA,26,1827,298806
Black Non-Hispanic,45-49,NA,27,395,87506
Black Non-Hispanic,45-49,NA,28,2086,268145
Black Non-Hispanic,45-49,NA,29,970,143030
Black Non-Hispanic,45-49,NA,30,7,1278
Black Non-Hispanic,45-49,NA,31,126,22537
Black Non-Hispanic,45-49,NA,32,504,67039
Black Non-Hispanic,45-49,NA,33,29,4091
Black Non-Hispanic,45-49,NA,34,2060,291837
Black Non-Hispanic,45-49,NA,35,79,7920
Black Non-Hispanic,45-49,NA,36,4838,662494
Black Non-Hispanic,45-49,NA,37,4052,535946
Black Non-Hispanic,45-49,NA,38,21,6010
Black Non-Hispanic,45-49,NA,39,2003,297348
Black Non-Hispanic,45-49,NA,40,450,65837
Black Non-Hispanic,45-49,NA,41,140,20011
Black Non-Hispanic,45-49,NA,42,1651,296858
Black Non-Hispanic,45-49,NA,44,104,14915
Black Non-Hispanic,45-49,NA,45,2312,288138
Black Non-Hispanic,45-49,NA,46,25,6097
Black Non-Hispanic,45-49,NA,47,1874,249726
Black Non-Hispanic,45-49,NA,48,6320,924941
Black Non-Hispanic,45-49,NA,49,46,6967
Black Non-Hispanic,45-49,NA,50,10,717
Black Non-Hispanic,45-49,NA,51,2964,379787
Black Non-Hispanic,45-49,NA,53,609,82847
Black Non-Hispanic,45-49,NA,54,144,18110
Black Non-Hispanic,45-49,NA,55,447,72638
Black Non-Hispanic,45-49,NA,56,12,1330
Black Non-Hispanic,50-54,NA,1,2759,309213
Black Non-Hispanic,50-54,NA,2,34,5170
Black Non-Hispanic,50-54,NA,4,635,74344
Black Non-Hispanic,50-54,NA,5,895,99502
Black Non-Hispanic,50-54,NA,6,4463,537594
Black Non-Hispanic,50-54,NA,8,435,55948
Black Non-Hispanic,50-54,NA,9,744,98016
Black Non-Hispanic,50-54,NA,10,364,56082
Black Non-Hispanic,50-54,NA,11,517,62733
Black Non-Hispanic,50-54,NA,12,5966,802957
Black Non-Hispanic,50-54,NA,13,6656,871568
Black Non-Hispanic,50-54,NA,15,52,6620
Black Non-Hispanic,50-54,NA,16,25,2406
Black Non-Hispanic,50-54,NA,17,2986,423026
Black Non-Hispanic,50-54,NA,18,1062,143161
Black Non-Hispanic,50-54,NA,19,161,26553
Black Non-Hispanic,50-54,NA,20,219,31246
Black Non-Hispanic,50-54,NA,21,596,70838
Black Non-Hispanic,50-54,NA,22,2622,316633
Black Non-Hispanic,50-54,NA,23,26,4459
Black Non-Hispanic,50-54,NA,24,3803,484623
Black Non-Hispanic,50-54,NA,25,981,123064
Black Non-Hispanic,50-54,NA,26,2103,338674
Black Non-Hispanic,50-54,NA,27,360,85419
Black Non-Hispanic,50-54,NA,28,2297,251433
Black Non-Hispanic,50-54,NA,29,1086,150523
Black Non-Hispanic,50-54,NA,30,6,920
Black Non-Hispanic,50-54,NA,31,110,17831
Black Non-Hispanic,50-54,NA,32,541,66844
Black Non-Hispanic,50-54,NA,33,28,4889
Black Non-Hispanic,50-54,NA,34,2329,312342
Black Non-Hispanic,50-54,NA,35,75,9659
Black Non-Hispanic,50-54,NA,36,5461,697066
Black Non-Hispanic,50-54,NA,37,4563,554021
Black Non-Hispanic,50-54,NA,38,10,2076
Black Non-Hispanic,50-54,NA,39,2425,329885
Black Non-Hispanic,50-54,NA,40,453,62081
Black Non-Hispanic,50-54,NA,41,135,16028
Black Non-Hispanic,50-54,NA,42,1790,311910
Black Non-Hispanic,50-54,NA,44,98,15321
Black Non-Hispanic,50-54,NA,45,2668,310874
Black Non-Hispanic,50-54,NA,46,14,3007
Black Non-Hispanic,50-54,NA,47,2035,260057
Black Non-Hispanic,50-54,NA,48,6833,881084
Black Non-Hispanic,50-54,NA,49,48,7538
Black Non-Hispanic,50-54,NA,50,8,3241
Black Non-Hispanic,50-54,NA,51,3305,388928
Black Non-Hispanic,50-54,NA,53,527,75910
Black Non-Hispanic,50-54,NA,54,134,13104
Black Non-Hispanic,50-54,NA,55,459,76299
Black Non-Hispanic,50-54,NA,56,7,1977
Black Non-Hispanic,55-59,NA,1,2951,295794
Black Non-Hispanic,55-59,NA,2,36,4795
Black Non-Hispanic,55-59,NA,4,643,68541
Black Non-Hispanic,55-59,NA,5,1027,95577
Black Non-Hispanic,55-59,NA,6,5103,534510
Black Non-Hispanic,55-59,NA,8,399,46955
Black Non-Hispanic,55-59,NA,9,840,99102
Black Non-Hispanic,55-59,NA,10,397,56083
Black Non-Hispanic,55-59,NA,11,587,64274
Black Non-Hispanic,55-59,NA,12,6391,771916
Black Non-Hispanic,55-59,NA,13,7344,799020
Black Non-Hispanic,55-59,NA,15,38,3659
Black Non-Hispanic,55-59,NA,16,26,2503
Black Non-Hispanic,55-59,NA,17,3160,391989
Black Non-Hispanic,55-59,NA,18,994,126114
Black Non-Hispanic,55-59,NA,19,135,16970
Black Non-Hispanic,55-59,NA,20,272,36666
Black Non-Hispanic,55-59,NA,21,635,64925
Black Non-Hispanic,55-59,NA,22,3118,312594
Black Non-Hispanic,55-59,NA,23,20,3518
Black Non-Hispanic,55-59,NA,24,4117,473016
Black Non-Hispanic,55-59,NA,25,1027,119075
Black Non-Hispanic,55-59,NA,26,2248,305376
Black Non-Hispanic,55-59,NA,27,347,62164
Black Non-Hispanic,55-59,NA,28,2490,227880
Black Non-Hispanic,55-59,NA,29,1194,144505
Black Non-Hispanic,55-59,NA,30,7,799
Black Non-Hispanic,55-59,NA,31,102,15082
Black Non-Hispanic,55-59,NA,32,548,59749
Black Non-Hispanic,55-59,NA,33,30,3450
Black Non-Hispanic,55-59,NA,34,2791,321371
Black Non-Hispanic,55-59,NA,35,83,10036
Black Non-Hispanic,55-59,NA,36,6227,720309
Black Non-Hispanic,55-59,NA,37,5142,524742
Black Non-Hispanic,55-59,NA,38,12,2247
Black Non-Hispanic,55-59,NA,39,2572,301673
Black Non-Hispanic,55-59,NA,40,479,58660
Black Non-Hispanic,55-59,NA,41,148,14858
Black Non-Hispanic,55-59,NA,42,2009,309083
Black Non-Hispanic,55-59,NA,44,91,12073
Black Non-Hispanic,55-59,NA,45,3001,299246
Black Non-Hispanic,55-59,NA,46,13,2272
Black Non-Hispanic,55-59,NA,47,2263,246988
Black Non-Hispanic,55-59,NA,48,6879,784482
Black Non-Hispanic,55-59,NA,49,43,4050
Black Non-Hispanic,55-59,NA,50,14,1311
Black Non-Hispanic,55-59,NA,51,3717,397676
Black Non-Hispanic,55-59,NA,53,556,64204
Black Non-Hispanic,55-59,NA,54,131,11543
Black Non-Hispanic,55-59,NA,55,462,66325
Black Non-Hispanic,55-59,NA,56,8,1043
Black Non-Hispanic,60-64,NA,1,3357,321828
Black Non-Hispanic,60-64,NA,2,31,3754
Black Non-Hispanic,60-64,NA,4,707,71835
Black Non-Hispanic,60-64,NA,5,1141,103660
Black Non-Hispanic,60-64,NA,6,5688,580840
Black Non-Hispanic,60-64,NA,8,452,48153
Black Non-Hispanic,60-64,NA,9,755,90873
Black Non-Hispanic,60-64,NA,10,409,58658
Black Non-Hispanic,60-64,NA,11,680,71115
Black Non-Hispanic,60-64,NA,12,6861,758531
Black Non-Hispanic,60-64,NA,13,7529,795147
Black Non-Hispanic,60-64,NA,15,38,3792
Black Non-Hispanic,60-64,NA,16,12,857
Black Non-Hispanic,60-64,NA,17,3639,428047
Black Non-Hispanic,60-64,NA,18,1191,136486
Black Non-Hispanic,60-64,NA,19,135,21936
Black Non-Hispanic,60-64,NA,20,283,33583
Black Non-Hispanic,60-64,NA,21,812,87201
Black Non-Hispanic,60-64,NA,22,3411,334164
Black Non-Hispanic,60-64,NA,23,18,2079
Black Non-Hispanic,60-64,NA,24,4541,505975
Black Non-Hispanic,60-64,NA,25,994,110822
Black Non-Hispanic,60-64,NA,26,2393,313733
Black Non-Hispanic,60-64,NA,27,336,67494
Black Non-Hispanic,60-64,NA,28,3030,265788
Black Non-Hispanic,60-64,NA,29,1441,171070
Black Non-Hispanic,60-64,NA,30,4,547
Black Non-Hispanic,60-64,NA,31,126,19353
Black Non-Hispanic,60-64,NA,32,610,69170
Black Non-Hispanic,60-64,NA,33,23,3348
Black Non-Hispanic,60-64,NA,34,2669,290405
Black Non-Hispanic,60-64,NA,35,95,9709
Black Non-Hispanic,60-64,NA,36,6532,747439
Black Non-Hispanic,60-64,NA,37,5621,545602
Black Non-Hispanic,60-64,NA,38,8,2555
Black Non-Hispanic,60-64,NA,39,3016,341726
Black Non-Hispanic,60-64,NA,40,533,61158
Black Non-Hispanic,60-64,NA,41,154,16618
Black Non-Hispanic,60-64,NA,42,2123,316225
Black Non-Hispanic,60-64,NA,44,94,15210
Black Non-Hispanic,60-64,NA,45,3575,350763
Black Non-Hispanic,60-64,NA,46,18,3036
Black Non-Hispanic,60-64,NA,47,2452,265336
Black Non-Hispanic,60-64,NA,48,7495,801462
Black Non-Hispanic,60-64,NA,49,46,5994
Black Non-Hispanic,60-64,NA,50,9,1107
Black Non-Hispanic,60-64,NA,51,3996,422638
Black Non-Hispanic,60-64,NA,53,562,59018
Black Non-Hispanic,60-64,NA,54,121,11712
Black Non-Hispanic,60-64,NA,55,450,69819
Black Non-Hispanic,60-64,NA,56,10,1072
Black Non-Hispanic,65-69,NA,1,3385,296800
Black Non-Hispanic,65-69,NA,2,16,2993
Black Non-Hispanic,65-69,NA,4,595,60618
Black Non-Hispanic,65-69,NA,5,1089,95072
Black Non-Hispanic,65-69,NA,6,5090,459709
Black Non-Hispanic,65-69,NA,8,427,41120
Black Non-Hispanic,65-69,NA,9,615,64515
Black Non-Hispanic,65-69,NA,10,435,52054
Black Non-Hispanic,65-69,NA,11,650,58897
Black Non-Hispanic,65-69,NA,12,6109,631061
Black Non-Hispanic,65-69,NA,13,6720,615130
Black Non-Hispanic,65-69,NA,15,52,4884
Black Non-Hispanic,65-69,NA,16,8,730
Black Non-Hispanic,65-69,NA,17,3274,349108
Black Non-Hispanic,65-69,NA,18,1094,109039
Black Non-Hispanic,65-69,NA,19,94,13323
Black Non-Hispanic,65-69,NA,20,264,32130
Black Non-Hispanic,65-69,NA,21,696,66105
Black Non-Hispanic,65-69,NA,22,3460,293133
Black Non-Hispanic,65-69,NA,23,17,1525
Black Non-Hispanic,65-69,NA,24,3882,378905
Black Non-Hispanic,65-69,NA,25,870,91747
Black Non-Hispanic,65-69,NA,26,2244,270116
Black Non-Hispanic,65-69,NA,27,220,39800
Black Non-Hispanic,65-69,NA,28,2895,229887
Black Non-Hispanic,65-69,NA,29,1305,125749
Black Non-Hispanic,65-69,NA,30,6,647
Black Non-Hispanic,65-69,NA,31,105,12020
Black Non-Hispanic,65-69,NA,32,595,53523
Black Non-Hispanic,65-69,NA,33,14,1802
Black Non-Hispanic,65-69,NA,34,2203,214620
Black Non-Hispanic,65-69,NA,35,82,7467
Black Non-Hispanic,65-69,NA,36,5493,582018
Black Non-Hispanic,65-69,NA,37,5565,480903
Black Non-Hispanic,65-69,NA,38,3,295
Black Non-Hispanic,65-69,NA,39,3014,279935
Black Non-Hispanic,65-69,NA,40,497,53163
Black Non-Hispanic,65-69,NA,41,139,12240
Black Non-Hispanic,65-69,NA,42,2024,265571
Black Non-Hispanic,65-69,NA,44,113,12529
Black Non-Hispanic,65-69,NA,45,3459,292101
Black Non-Hispanic,65-69,NA,46,7,1529
Black Non-Hispanic,65-69,NA,47,2455,226637
Black Non-Hispanic,65-69,NA,48,6924,621540
Black Non-Hispanic,65-69,NA,49,29,2720
Black Non-Hispanic,65-69,NA,50,16,1373
Black Non-Hispanic,65-69,NA,51,3854,353889
Black Non-Hispanic,65-69,NA,53,424,48995
Black Non-Hispanic,65-69,NA,54,165,14593
Black Non-Hispanic,65-69,NA,55,409,54759
Black Non-Hispanic,65-69,NA,56,3,205
Black Non-Hispanic,70-74,NA,1,2464,209275
Black Non-Hispanic,70-74,NA,2,19,3895
Black Non-Hispanic,70-74,NA,4,436,37469
Black Non-Hispanic,70-74,NA,5,798,66458
Black Non-Hispanic,70-74,NA,6,3873,330551
Black Non-Hispanic,70-74,NA,8,269,26394
Black Non-Hispanic,70-74,NA,9,485,50928
Black Non-Hispanic,70-74,NA,10,325,33258
Black Non-Hispanic,70-74,NA,11,584,51846
Black Non-Hispanic,70-74,NA,12,4765,474478
Black Non-Hispanic,70-74,NA,13,5613,503105
Black Non-Hispanic,70-74,NA,15,29,2769
Black Non-Hispanic,70-74,NA,16,16,758
Black Non-Hispanic,70-74,NA,17,2596,266717
Black Non-Hispanic,70-74,NA,18,827,79546
Black Non-Hispanic,70-74,NA,19,71,7269
Black Non-Hispanic,70-74,NA,20,192,24127
Black Non-Hispanic,70-74,NA,21,546,48464
Black Non-Hispanic,70-74,NA,22,2823,228441
Black Non-Hispanic,70-74,NA,23,15,1123
Black Non-Hispanic,70-74,NA,24,3213,300265
Black Non-Hispanic,70-74,NA,25,639,63864
Black Non-Hispanic,70-74,NA,26,1781,211321
Black Non-Hispanic,70-74,NA,27,151,30181
Black Non-Hispanic,70-74,NA,28,2165,169595
Black Non-Hispanic,70-74,NA,29,1028,98104
Black Non-Hispanic,70-74,NA,30,1,20
Black Non-Hispanic,70-74,NA,31,87,10331
Black Non-Hispanic,70-74,NA,32,443,40085
Black Non-Hispanic,70-74,NA,33,16,2031
Black Non-Hispanic,70-74,NA,34,1801,178197
Black Non-Hispanic,70-74,NA,35,72,7519
Black Non-Hispanic,70-74,NA,36,4271,432895
Black Non-Hispanic,70-74,NA,37,4472,371056
Black Non-Hispanic,70-74,NA,38,7,913
Black Non-Hispanic,70-74,NA,39,2313,214552
Black Non-Hispanic,70-74,NA,40,370,39315
Black Non-Hispanic,70-74,NA,41,110,9106
Black Non-Hispanic,70-74,NA,42,1586,198121
Black Non-Hispanic,70-74,NA,44,70,9131
Black Non-Hispanic,70-74,NA,45,2977,242554
Black Non-Hispanic,70-74,NA,46,3,207
Black Non-Hispanic,70-74,NA,47,1848,160298
Black Non-Hispanic,70-74,NA,48,5121,454516
Black Non-Hispanic,70-74,NA,49,29,2845
Black Non-Hispanic,70-74,NA,50,5,671
Black Non-Hispanic,70-74,NA,51,2966,264801
Black Non-Hispanic,70-74,NA,53,314,33734
Black Non-Hispanic,70-74,NA,54,117,8752
Black Non-Hispanic,70-74,NA,55,249,32746
Black Non-Hispanic,70-74,NA,56,2,266
Black Non-Hispanic,75-79,NA,1,1600,127461
Black Non-Hispanic,75-79,NA,2,11,1765
Black Non-Hispanic,75-79,NA,4,270,24824
Black Non-Hispanic,75-79,NA,5,488,40092
Black Non-Hispanic,75-79,NA,6,2664,214435
Black Non-Hispanic,75-79,NA,8,160,15271
Black Non-Hispanic,75-79,NA,9,358,30311
Black Non-Hispanic,75-79,NA,10,196,19531
Black Non-Hispanic,75-79,NA,11,417,33078
Black Non-Hispanic,75-79,NA,12,3136,302767
Black Non-Hispanic,75-79,NA,13,3365,283474
Black Non-Hispanic,75-79,NA,15,23,1781
Black Non-Hispanic,75-79,NA,16,4,350
Black Non-Hispanic,75-79,NA,17,1730,181842
Black Non-Hispanic,75-79,NA,18,500,51652
Black Non-Hispanic,75-79,NA,19,59,4720
Black Non-Hispanic,75-79,NA,20,121,14707
Black Non-Hispanic,75-79,NA,21,319,27199
Black Non-Hispanic,75-79,NA,22,1620,132574
Black Non-Hispanic,75-79,NA,23,9,1149
Black Non-Hispanic,75-79,NA,24,2085,186165
Black Non-Hispanic,75-79,NA,25,462,39605
Black Non-Hispanic,75-79,NA,26,1159,131556
Black Non-Hispanic,75-79,NA,27,82,13100
Black Non-Hispanic,75-79,NA,28,1246,93577
Black Non-Hispanic,75-79,NA,29,578,57997
Black Non-Hispanic,75-79,NA,30,3,401
Black Non-Hispanic,75-79,NA,31,43,4675
Black Non-Hispanic,75-79,NA,32,283,26864
Black Non-Hispanic,75-79,NA,33,9,850
Black Non-Hispanic,75-79,NA,34,1249,112589
Black Non-Hispanic,75-79,NA,35,37,3285
Black Non-Hispanic,75-79,NA,36,3125,318893
Black Non-Hispanic,75-79,NA,37,2744,222977
Black Non-Hispanic,75-79,NA,38,4,387
Black Non-Hispanic,75-79,NA,39,1373,125414
Black Non-Hispanic,75-79,NA,40,209,19054
Black Non-Hispanic,75-79,NA,41,58,5333
Black Non-Hispanic,75-79,NA,42,1039,130194
Black Non-Hispanic,75-79,NA,44,46,3697
Black Non-Hispanic,75-79,NA,45,1780,134489
Black Non-Hispanic,75-79,NA,46,2,134
Black Non-Hispanic,75-79,NA,47,1054,93656
Black Non-Hispanic,75-79,NA,48,3176,262679
Black Non-Hispanic,75-79,NA,49,8,1058
Black Non-Hispanic,75-79,NA,50,5,209
Black Non-Hispanic,75-79,NA,51,1892,166521
Black Non-Hispanic,75-79,NA,53,196,19337
Black Non-Hispanic,75-79,NA,54,70,5690
Black Non-Hispanic,75-79,NA,55,163,23768
Black Non-Hispanic,75-79,NA,56,2,334
Black Non-Hispanic,80+,NA,1,1695,127177
Black Non-Hispanic,80+,NA,2,7,966
Black Non-Hispanic,80+,NA,4,275,24832
Black Non-Hispanic,80+,NA,5,493,37750
Black Non-Hispanic,80+,NA,6,3354,274183
Black Non-Hispanic,80+,NA,8,210,18983
Black Non-Hispanic,80+,NA,9,438,40099
Black Non-Hispanic,80+,NA,10,249,26140
Black Non-Hispanic,80+,NA,11,555,43935
Black Non-Hispanic,80+,NA,12,3780,352791
Black Non-Hispanic,80+,NA,13,3298,268012
Black Non-Hispanic,80+,NA,15,19,1758
Black Non-Hispanic,80+,NA,16,2,150
Black Non-Hispanic,80+,NA,17,2078,205003
Black Non-Hispanic,80+,NA,18,556,52008
Black Non-Hispanic,80+,NA,19,45,3932
Black Non-Hispanic,80+,NA,20,132,13745
Black Non-Hispanic,80+,NA,21,365,31810
Black Non-Hispanic,80+,NA,22,1813,140767
Black Non-Hispanic,80+,NA,23,4,291
Black Non-Hispanic,80+,NA,24,2381,207725
Black Non-Hispanic,80+,NA,25,515,47790
Black Non-Hispanic,80+,NA,26,1463,158310
Black Non-Hispanic,80+,NA,27,120,16831
Black Non-Hispanic,80+,NA,28,1303,94611
Black Non-Hispanic,80+,NA,29,766,72382
Black Non-Hispanic,80+,NA,30,2,139
Black Non-Hispanic,80+,NA,31,46,5133
