raceth,age_group_5yr,sex,statefip,n,weighted
White Non-Hispanic,10-14,NA,11,298,24724
White Non-Hispanic,10-14,NA,12,18401,2096206
White Non-Hispanic,10-14,NA,13,12765,1242168
White Non-Hispanic,10-14,NA,15,414,43562
White Non-Hispanic,10-14,NA,16,4150,409873
White Non-Hispanic,10-14,NA,17,17654,1559216
White Non-Hispanic,10-14,NA,18,12468,1241617
White Non-Hispanic,10-14,NA,19,6345,630349
White Non-Hispanic,10-14,NA,20,5193,537378
White Non-Hispanic,10-14,NA,21,8717,888833
White Non-Hispanic,10-14,NA,22,5659,612841
White Non-Hispanic,10-14,NA,23,2302,249235
White Non-Hispanic,10-14,NA,24,6860,614756
White Non-Hispanic,10-14,NA,25,9138,901423
White Non-Hispanic,10-14,NA,26,16200,1620410
White Non-Hispanic,10-14,NA,27,11398,998418
White Non-Hispanic,10-14,NA,28,3682,395980
White Non-Hispanic,10-14,NA,29,11603,1120226
White Non-Hispanic,10-14,NA,30,1938,209518
White Non-Hispanic,10-14,NA,31,3858,371825
White Non-Hispanic,10-14,NA,32,2483,264177
White Non-Hispanic,10-14,NA,33,2258,251269
White Non-Hispanic,10-14,NA,34,10403,997705
White Non-Hispanic,10-14,NA,35,1095,126526
White Non-Hispanic,10-14,NA,36,23899,2146079
White Non-Hispanic,10-14,NA,37,13506,1325153
White Non-Hispanic,10-14,NA,38,1598,159805
White Non-Hispanic,10-14,NA,39,20596,2060993
White Non-Hispanic,10-14,NA,40,4874,572161
White Non-Hispanic,10-14,NA,41,6027,619805
White Non-Hispanic,10-14,NA,42,21130,1952348
White Non-Hispanic,10-14,NA,44,1169,124498
White Non-Hispanic,10-14,NA,45,7103,698436
White Non-Hispanic,10-14,NA,46,1811,179448
White Non-Hispanic,10-14,NA,47,11274,1129414
White Non-Hispanic,10-14,NA,48,26287,2645821
White Non-Hispanic,10-14,NA,49,8640,788759
White Non-Hispanic,10-14,NA,50,1170,124587
White Non-Hispanic,10-14,NA,51,11358,1125107
White Non-Hispanic,10-14,NA,53,10140,1003295
White Non-Hispanic,10-14,NA,54,3347,374402
White Non-Hispanic,10-14,NA,55,11494,1003748
White Non-Hispanic,10-14,NA,56,1134,118312
White Non-Hispanic,15-19,NA,1,8502,782826
White Non-Hispanic,15-19,NA,2,739,87138
White Non-Hispanic,15-19,NA,4,8147,769684
White Non-Hispanic,15-19,NA,5,5447,519743
White Non-Hispanic,15-19,NA,6,25821,2551089
White Non-Hispanic,15-19,NA,8,9433,827566
White Non-Hispanic,15-19,NA,9,5561,526939
White Non-Hispanic,15-19,NA,10,1114,125820
White Non-Hispanic,15-19,NA,11,705,42998
White Non-Hispanic,15-19,NA,12,21948,2142740
White Non-Hispanic,15-19,NA,13,14006,1307727
White Non-Hispanic,15-19,NA,15,521,43067
White Non-Hispanic,15-19,NA,16,4378,427302
White Non-Hispanic,15-19,NA,17,18799,1653494
White Non-Hispanic,15-19,NA,18,13741,1297998
White Non-Hispanic,15-19,NA,19,7454,686383
White Non-Hispanic,15-19,NA,20,5963,547166
White Non-Hispanic,15-19,NA,21,9724,911898
White Non-Hispanic,15-19,NA,22,5953,613096
White Non-Hispanic,15-19,NA,23,2846,269322
White Non-Hispanic,15-19,NA,24,7161,643287
White Non-Hispanic,15-19,NA,25,12330,1108186
White Non-Hispanic,15-19,NA,26,18320,1715299
White Non-Hispanic,15-19,NA,27,11686,1019747
White Non-Hispanic,15-19,NA,28,4437,423589
White Non-Hispanic,15-19,NA,29,12665,1175225
White Non-Hispanic,15-19,NA,30,1984,212608
White Non-Hispanic,15-19,NA,31,4002,380472
White Non-Hispanic,15-19,NA,32,2426,253120
White Non-Hispanic,15-19,NA,33,2834,278655
White Non-Hispanic,15-19,NA,34,11510,1064723
White Non-Hispanic,15-19,NA,35,1187,125875
White Non-Hispanic,15-19,NA,36,28472,2361387
White Non-Hispanic,15-19,NA,37,16338,1482095
White Non-Hispanic,15-19,NA,38,1758,166514
White Non-Hispanic,15-19,NA,39,23204,2152786
White Non-Hispanic,15-19,NA,40,5740,600697
White Non-Hispanic,15-19,NA,41,6537,625845
White Non-Hispanic,15-19,NA,42,25066,2234728
White Non-Hispanic,15-19,NA,44,1933,176071
White Non-Hispanic,15-19,NA,45,9005,773982
White Non-Hispanic,15-19,NA,46,1988,188398
White Non-Hispanic,15-19,NA,47,12594,1176372
White Non-Hispanic,15-19,NA,48,28751,2670482
White Non-Hispanic,15-19,NA,49,9570,807062
White Non-Hispanic,15-19,NA,50,1460,148934
White Non-Hispanic,15-19,NA,51,13296,1194861
White Non-Hispanic,15-19,NA,53,10765,996479
White Non-Hispanic,15-19,NA,54,3728,383896
White Non-Hispanic,15-19,NA,55,12200,1088184
White Non-Hispanic,15-19,NA,56,1170,120254
White Non-Hispanic,20-24,NA,1,7645,806504
White Non-Hispanic,20-24,NA,2,786,100848
White Non-Hispanic,20-24,NA,4,7173,818741
White Non-Hispanic,20-24,NA,5,4877,525488
White Non-Hispanic,20-24,NA,6,23685,2702464
White Non-Hispanic,20-24,NA,8,8144,889947
White Non-Hispanic,20-24,NA,9,4932,543015
White Non-Hispanic,20-24,NA,10,1098,119340
White Non-Hispanic,20-24,NA,11,1208,80517
White Non-Hispanic,20-24,NA,12,19136,2228698
White Non-Hispanic,20-24,NA,13,12840,1342843
White Non-Hispanic,20-24,NA,15,914,82580
White Non-Hispanic,20-24,NA,16,3495,400704
White Non-Hispanic,20-24,NA,17,16287,1687416
White Non-Hispanic,20-24,NA,18,12625,1364455
White Non-Hispanic,20-24,NA,19,6003,707012
White Non-Hispanic,20-24,NA,20,4840,569461
White Non-Hispanic,20-24,NA,21,8348,937558
White Non-Hispanic,20-24,NA,22,5590,617084
White Non-Hispanic,20-24,NA,23,2273,274482
White Non-Hispanic,20-24,NA,24,6120,644661
White Non-Hispanic,20-24,NA,25,12542,1209256
White Non-Hispanic,20-24,NA,26,15227,1839490
White Non-Hispanic,20-24,NA,27,8142,1008905
White Non-Hispanic,20-24,NA,28,3608,402465
White Non-Hispanic,20-24,NA,29,11072,1189911
White Non-Hispanic,20-24,NA,30,1625,245807
White Non-Hispanic,20-24,NA,31,3142,396788
White Non-Hispanic,20-24,NA,32,2266,249886
White Non-Hispanic,20-24,NA,33,2473,288088
White Non-Hispanic,20-24,NA,34,9975,1059601
White Non-Hispanic,20-24,NA,35,1239,138492
White Non-Hispanic,20-24,NA,36,25639,2510624
White Non-Hispanic,20-24,NA,37,15271,1598458
White Non-Hispanic,20-24,NA,38,1367,195877
White Non-Hispanic,20-24,NA,39,20924,2180817
White Non-Hispanic,20-24,NA,40,5122,620084
White Non-Hispanic,20-24,NA,41,5617,653339
White Non-Hispanic,20-24,NA,42,21754,2173829
White Non-Hispanic,20-24,NA,44,1765,187420
White Non-Hispanic,20-24,NA,45,7618,772511
White Non-Hispanic,20-24,NA,46,1461,177056
White Non-Hispanic,20-24,NA,47,11827,1239876
White Non-Hispanic,20-24,NA,48,24573,2735269
White Non-Hispanic,20-24,NA,49,8161,857829
White Non-Hispanic,20-24,NA,50,1049,149060
White Non-Hispanic,20-24,NA,51,12095,1249553
White Non-Hispanic,20-24,NA,53,9574,1077878
White Non-Hispanic,20-24,NA,54,3475,395141
White Non-Hispanic,20-24,NA,55,9291,1188727
White Non-Hispanic,20-24,NA,56,961,116991
White Non-Hispanic,25-29,NA,1,7274,768403
White Non-Hispanic,25-29,NA,2,814,118304
White Non-Hispanic,25-29,NA,4,7789,876878
White Non-Hispanic,25-29,NA,5,4687,501144
White Non-Hispanic,25-29,NA,6,27447,3054645
White Non-Hispanic,25-29,NA,8,10273,1112702
White Non-Hispanic,25-29,NA,9,4717,495675
White Non-Hispanic,25-29,NA,10,1057,123603
White Non-Hispanic,25-29,NA,11,1649,137748
White Non-Hispanic,25-29,NA,12,20417,2405093
White Non-Hispanic,25-29,NA,13,13323,1326079
White Non-Hispanic,25-29,NA,15,736,76022
White Non-Hispanic,25-29,NA,16,3335,371935
White Non-Hispanic,25-29,NA,17,18083,1751703
White Non-Hispanic,25-29,NA,18,12321,1270073
White Non-Hispanic,25-29,NA,19,5765,623164
White Non-Hispanic,25-29,NA,20,4632,512574
